Social;Page url;Post Url;Likes;Reposts;Comments;Views;ER Post;ER View;VR Post;Text;Date;Author;Media 1;Url 1;Media 2;Url 2;Media 3;Url 3;Media 4;Url 4;Media 5;Url 5;Media 6;Url 6;Media 6;Url 6;Media 7;Url 7;Media 8;Url 8;Media 9;Url 9;Media 10;Url 10
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5490;11;1;0;14285;0,1516;0,084;180,4345;"В Фурманном переулке, 18, притаилось ещё одно сокровище московского модерна — доходный дом Александры Монигетти.

Этот особняк украшен изящными плавными линиями и цветочными мотивами. Первый этаж выделен рустом, специальной отделкой, имитирующей кладку из крупных камней, а выше расположены французские и обычные балконы, украшенные коваными решётками в стиле модерн. Входные группы имеют гармоничные формы и окружены уплощёнными колоннами.

Построенный в 1903 году по индивидуальному проекту Николая Матвеева, пятиэтажный дом был отреставрирован в 2025-м и вновь радует жителей и гостей столицы своей исторической красотой.

А о каком другом интересном доме Москвы вы бы хотели узнать в нашей рубрике?

Самые важные новости Москвы — в канале Сергея Собянина в MAX: max.ru/mossobyanin";17.01.2026;public190256180;image;https://sun9-61.vkuserphoto.ru/s/v1/ig2/PhmHnLshLCROhRkKPmKn04IgTay4d6pcvSZwmhVx43108Lbb2BYPoBNhHrhEPVkojH_B_oFxQfrrvKo7Ij51xgjA.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5487;12;3;2;19348;0,2147;0,0879;244,3855;"В новом году Академия грамотных собственников и наши эксперты продолжают знакомить вас с возможностями управления многоквартирным домом. 
 
21 января пройдёт лекция об особенностях и нюансах ролей администратора и инициатора общих собраний собственников (ОСС) в электронном виде. 
 
А уже с 28 января стартует обновлённая, дополненная программа обучения! Среди новых лекций — практическое занятие по заведению ОСС и чем может быть полезна платформа домам с ТСЖ и ЖСК. Новое расписание будет опубликовано на следующей неделе! 
 
Участие доступно в онлайн- или офлайн-форматах. 
 
Регистрируйтесь заранее, количество мест ограничено! 
 
Записаться и ознакомиться с подробной программой курса можно здесь —> ed.mos.ru/academy-oss/. 
 
Самые важные новости Москвы — в канале Сергея Собянина в MAX: max.ru/mossobyanin";16.01.2026;public190256180;image;https://sun9-57.vkuserphoto.ru/s/v1/ig2/rr9iehZrTTClttUZJ3uVW4PmR7vqMvvUw1SwZ5FpvYG_DwDpWB9gYM3tJ7Da1ymrIb55a3QPI2z-uEWUg1p3VVCF.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5484;13;1;3;21092;0,2147;0,0806;266,414;"Новый год приносит новые планы, но и над предыдущими проектами продолжается активная работа.

Комплекс городского хозяйства поделился статистикой — за последние 10 лет облик более 1,2 тысячи домов дореволюционного периода обновили в ходе реставрации.

Эта кропотливая и сложная работа позволила восстановить декоративные украшения фасадов, созданные в разные эпохи. На обновленных зданиях можно заметить элементы эклектики, модерна, конструктивизма и неоклассицизма. Основная задача специалистов — не просто восстановить исторические фасады, но и сделать это исторически и архитектурно максимально точно. Для работы используются современные материалы, которые гарантируют качество и долговечность.

В домах ремонтируют не только фасады. Капитальный ремонт во многих зданиях также затрагивает инженерные системы, подъезды и крыши. Такой комплексный подход позволяет сохранить архитектурные жемчужины города для будущих поколений.

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin";14.01.2026;public190256180;image;https://sun9-42.vkuserphoto.ru/s/v1/ig2/Kk2zZSPjT6J2A8A27JbBfeM03y6bKYmpMssUriWLx2Dsqm1maCGPuOVNeBPCCFOg5pCwxyHcHqn5NSyCKelP3RNl.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,880x880&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5481;9;0;0;557;0,1137;1,6158;7,0355;"На днях мы пригласили вас принять участие в праздничной викторине и угадать районы по известным фактам. 

Пришла пора дать правильные ответы!

Первый район — Измайлово.
Прочитать о его истории можно здесь — <a href=""https://vk.com/electronniydom?w=wall-190256180_4700."" class=""blue-selection"" target=""_blank"">https://vk.com/electronniydom?w=wall-190256180_4700.</a>

Второй — Лефортово.

Подробнее о нем — здесь: <a href=""https://vk.com/wall-190256180_4518."" class=""blue-selection"" target=""_blank"">https://vk.com/wall-190256180_4518.</a>

И третий — Печатники.

Узнайте о нем больше по ссылке: <a href=""https://vk.com/wall-190256180_4345."" class=""blue-selection"" target=""_blank"">https://vk.com/wall-190256180_4345.</a>

А вы угадали?";11.01.2026;public190256180;image;https://sun9-42.vkuserphoto.ru/s/v1/ig2/2csD2u44UZYoosGpHUQb4NQjj6n4VWlJFRE1ZToReEXV3Og5tm6o6ZRZhLWsYwton59bJt3tdUAlkQNMMAj6s1OM.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,974x974&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5475;12;0;4;7177;0,2021;0,2229;90,653;"В светлый праздник Рождества «Электронный дом» желает вам и вашим семьям добра, тепла и уюта! Пусть здоровье и радость будут вашими постоянными спутниками, а удача и вдохновение — добрыми соседями.

Любите и берегите друг друга, и пусть свет ваших окон будет путеводной звездой для счастья!

С праздником!";07.01.2026;public190256180;image;https://sun9-64.vkuserphoto.ru/s/v1/ig2/AoVRh9t5L3Pd-0hAlD7OqEOmCtNKKofi0Aad5BPxPocFDDa6Sd3kznJx-jaZjwInM7VHZSzuUsqsi8pd1SEpwfy2.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,974x974&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5474;9;1;0;7170;0,1263;0,1395;90,5646;"Новогодние каникулы — время волшебства, уюта и приятных встреч. Но чтобы праздник прошел без забот и неожиданных ситуаций, важно помнить о правилах пожарной безопасности.

1. Выключайте все гирлянды и светильники перед уходом из дома — даже если уходите ненадолго.

2. Не зажигайте свечи рядом со стенами, занавесками и другими вещами. Гасите огонь перед уходом из комнаты, даже если остаетесь в квартире.

3. Используйте пиротехнику, хлопушки и бенгальские огни по правилам: только на улице, на безопасном расстоянии от домов и электропроводов.

4. Ставьте елку вдали от нагревательных приборов и свечей, чтобы создать праздничную атмосферу без риска для вещей и квартиры.

5. Если вдруг случится возгорание — сразу же набирайте номера экстренных служб: 112 или 101. Быстрая реакция — залог безопасности вашего дома и близких.

Пусть эти праздничные дни будут наполнены теплом и радостью и наслаждайтесь каждым моментом в кругу родных и близких!

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin <a href=""http://max.ru/mossobyanin"" class=""blue-selection"" target=""_blank"">http://max.ru/mossobyanin</a>";06.01.2026;public190256180;image;https://sun9-63.vkuserphoto.ru/s/v1/ig2/krq9VsSvvkEGTbD76BUdLwe3cY0NdGoWWHTwYGWFF6i2RYOeUolrDzSWg_c9Qy_39LpSJBk46RpPl11Mo1yui7ad.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,836x836&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5473;8;1;0;15685;0,1137;0,0574;198,118;"«Электронный дом» приглашает вас поучаствовать в праздничной викторине. Проверьте, насколько хорошо вы узнали столицу вместе с нами в 2025 году! 

Мы загадали три района Москвы. Попробуйте угадать их по историческим фактам: 

1. Первый район известен еще с допетровских времен своим огромным парком. Он побывал загородной резиденцией царей, а лес благодаря Екатерине II стал заповедным. 

2. Второй район прославился Немецкой слободой, где жил знаменитый соратник Петра I. Парк, открытый здесь в 1703 году, стал образцом для создания многих зеленых зон Санкт-Петербурга. 

3. Третий район, существующий с XVI века, обрел большую популярность в наши дни — места приглянулись режиссерам. Тут проходили съемки фильмов «Антикиллер», «Француз» и «Бумер».";04.01.2026;public190256180;image;https://sun9-58.vkuserphoto.ru/s/v1/ig2/1C8l8YV9hgv2yDMVpMuOw9l7a8Gg98m7cYw2TrU1LKxD9UOag_u0Ch3SzTtaBLpmSjbC9573E_C5Hxs80qvtuA1d.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5464;8;0;0;428;0,101;1,8692;5,4061;"Дорогие друзья, поздравляю вас с Новым, 2026 годом!

Подписаться на МАХ: <a href=""https://max.ru/mossobyanin"" class=""blue-selection"" target=""_blank"">https://max.ru/mossobyanin</a>";31.12.2025;public190256180;video;;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5463;13;0;0;464;0,1642;2,8017;5,8608;"«Электронный дом» от всей души поздравляет вас и ваших близких с наступающим Новым годом!

Пусть этот праздник наполнит ваш дом теплом, уютом и светом. Желаем здоровья, счастья и благополучия, а также добрых, отзывчивых соседей, которые готовы поддержать в любой момент. Пусть все вопросы и заботы, которые возникают у вас, будут лишь приятными хлопотами, в решении которых мы всегда готовы помочь.

Спасибо, что доверяете нам. Пусть наступающий год принесет вам радость, тепло и вдохновение!

С наилучшими пожеланиями и праздничным настроением, команда «Электронного дома».";31.12.2025;public190256180;image;https://sun9-57.vkuserphoto.ru/s/v1/ig2/W3HAV4KrZ_zM8gzYhabSuqFyyDrayL6FVyptSW7lpE6zeXgqcKPAVRuB72s4BHQJQqHA9LW5_ZSKwtVdysHH-xkH.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5461;7;1;7;629;0,1895;2,3847;7,9449;"Новый год уже послезавтра! А сегодня нам хочется оглянуться назад, подвести итоги и вспомнить вместе с вами, какие обновления произошли в «Электронном доме» в 2025 году.

— Мы запустили Академию грамотных собственников, чтобы делиться с вами полезными знаниями по управлению многоквартирным домом.

Ждём всех желающих на бесплатных лекциях от наших экспертов!

— Мы открыли дополнительные офисы «Электронного дома», чтобы помогать горожанам в проведении общих собраний собственников.

— В этом году на платформе появился сервис «Химчистка». Теперь вы можете вызвать проверенного специалиста на дом и не тратить время и силы на очистку мебели или ковров.

— Существенно обновился функционал «Электронного консьержа». Теперь через него также можно проверить наличие задолженностей, получить квитанции для оплаты, уточнить данные плательщика и узнать о капитальном ремонте.

Наверняка вы заметили и другие изменения, такие как полное обновление дизайна главной страницы приложения.

Прошедший год получился по-настоящему плодотворным! В следующем мы продолжим работу над функционалом платформы, чтобы сделать её ещё удобнее для вас.

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin";30.12.2025;public190256180;image;https://sun9-64.vkuserphoto.ru/s/v1/ig2/SEc1WgCy9khqyJDM8BS2IecXAudUoJBdDvS13U3wjw_YmRT3f-fFMIjaRNkvAHAEp7eEicOgrnu3kVhO6u-Zqi-I.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2250x2250&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5460;14;0;0;483;0,1768;2,8986;6,1008;"Дорогие друзья! 

«Электронный дом» напоминает, что праздничные дни — не только время для веселья и встреч с близкими, но и возможность расслабиться и услышать тишину, которая так нужна каждому из нас. 

В воскресенье и праздничные дни шумные работы запрещены, а в новостройках в первые полтора года после сдачи дома работы разрешены в течение всего светового дня.

Если вдруг ваши соседи лишний раз создают шум в неурочное время, вы всегда можете напомнить им о правилах, создав сообщение в разделе «Объявления».

Не забывайте, что тёплое и спокойное пространство в вашем многоквартирном доме вы создаёте вместе с соседями.

Пусть эти праздники подарят вам радость, гармонию и спокойствие!

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin";28.12.2025;public190256180;image;https://sun9-68.vkuserphoto.ru/s/v1/ig2/8SDSc6z8ox-viWv3KO_0JoCrVuEDOL9qQFWZx2v-Thspz337dNeIREJSu11oB6LhJNMoqmmFoSDrYGlniRnMWn_L.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,983x983&from=bu;image;https://sun9-14.vkuserphoto.ru/s/v1/ig2/wbFKji3abSc4ERm-QDMgz4WceHFeHSsKpYzwIv3zVCsxQqFyTMA37A-O807yFQ_bKCaBtUEHc7kAJXqynBrM6pzg.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,983x983&from=bu;image;https://sun9-78.vkuserphoto.ru/s/v1/ig2/j3S38IS0A8M5fk4eMBK0dxLPXEUxW53FjaN1ZHKql9imoTVCdQqtE3iLWVD2sErSd0mr3Xg3E4n7slOZeO-9stfu.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,983x983&from=bu;;;;;;;;;;;;;;;;
